05-29-2023,28110.313467609285
05-30-2023,27759.746663920676
05-31-2023,27713.908547529507
06-01-2023,27245.474465179723
06-02-2023,26824.10149951678
06-03-2023,27247.74008145703
06-04-2023,27066.371328526235
06-05-2023,27315.447587487684
06-06-2023,25792.6160902334
06-07-2023,27216.61556469773
06-08-2023,26346.244545137633
06-09-2023,26507.90989220298
06-10-2023,26469.581684007026
06-11-2023,25858.12289218562
06-12-2023,25916.57989637981
06-13-2023,25910.362742919464
06-14-2023,25872.20645879509
06-15-2023,25107.754695880594
06-16-2023,25564.599632887144
06-17-2023,26327.3256694539
06-18-2023,26501.044442233673
06-19-2023,26333.092529664373
06-20-2023,26779.387461522838
06-21-2023,28330.891419807507
06-22-2023,30101.764819488686
06-23-2023,29935.632106749556
06-24-2023,30629.24435333575
06-25-2023,30537.816664634793
06-26-2023,30454.75697441562
06-27-2023,30285.50506407074
06-28-2023,30693.54635606798
06-29-2023,30083.477245263824
06-30-2023,30466.610456893526
07-01-2023,30480.781481944465
07-02-2023,30583.619599697537
07-03-2023,30571.887072871446
07-04-2023,31134.713133508405
07-05-2023,30775.624022375305
07-06-2023,30484.79377442352
07-07-2023,29990.055151220247
07-08-2023,30315.26540235163
07-09-2023,30264.19734525722
07-10-2023,30169.87065747925
07-11-2023,30394.28114637557
07-12-2023,30620.81424697801
07-13-2023,30407.41631435991
07-14-2023,31446.0149710716
07-15-2023,30311.827808130518
07-16-2023,30297.971400125534
07-17-2023,30237.334785146097
07-18-2023,30147.860079211525
07-19-2023,29848.03227250528
07-20-2023,29919.87483825516
07-21-2023,29787.041530355687
07-22-2023,29914.68272835899
07-23-2023,29710.155935991766
07-24-2023,30057.956718714588
07-25-2023,29184.901913057693
07-26-2023,29222.974630383527
07-27-2023,29363.672907978616
07-28-2023,29200.244001291314
07-29-2023,29314.09738709836
07-30-2023,29356.74774591667
07-31-2023,29277.755810272716
08-01-2023,29233.136365580438
08-02-2023,29537.109746927432
08-03-2023,29146.63627084363
08-04-2023,29176.15059658541
08-05-2023,29087.938086007627
08-06-2023,29046.800457023197
08-07-2023,29044.204375577556
08-08-2023,29178.147751873083
08-09-2023,29779.56167125089
08-10-2023,29585.48807737921
08-11-2023,29423.81891597763
08-12-2023,29396.8479714205
08-13-2023,29412.142274584105
08-14-2023,29284.96971374381
08-15-2023,29400.58680419105
08-16-2023,29170.490397060614
08-17-2023,28754.197021112574
08-18-2023,26501.58726991974
08-19-2023,26042.838256848998
08-20-2023,26104.778630797897
08-21-2023,26160.700419818215
08-22-2023,26119.005958595222
08-23-2023,26033.675406585844
08-24-2023,26450.00862461353
08-25-2023,26134.934254516003
08-26-2023,26044.036209289134
08-27-2023,26002.015717319366
08-28-2023,26082.717178218525
08-29-2023,26109.2698239287
08-30-2023,27730.50373550554
08-31-2023,27297.261438480404
09-01-2023,25927.417005779287
09-02-2023,25812.33049442542
09-03-2023,25853.65684277757
09-04-2023,25959.596311463454
09-05-2023,25829.364772941324
09-06-2023,25784.41351983038
09-07-2023,25752.958418589413
09-08-2023,26192.333433090567
09-09-2023,25907.228137249735
09-10-2023,25889.3250094629
09-11-2023,25834.580098562914
09-12-2023,25133.303106566527
09-13-2023,25866.806663158084
09-14-2023,26223.436075660946
09-15-2023,26531.39556626326
09-16-2023,26634.631025000588
09-17-2023,26557.768691994646
09-18-2023,26520.988254783886
09-19-2023,26741.461110948952
09-20-2023,27219.296874634216
09-21-2023,27115.846446970816
09-22-2023,26561.133454198716
09-23-2023,26572.0381115526
09-24-2023,26573.9234797301
09-25-2023,26249.562897845204
09-26-2023,26298.634678281232
09-27-2023,26204.75759083597
09-28-2023,26350.146895428057
09-29-2023,27009.01375072488
09-30-2023,26917.199101637976
10-01-2023,26969.876144072576
10-02-2023,27967.510579087113
10-03-2023,27615.06488509527
10-04-2023,27439.121946705116
10-05-2023,27792.1112772493
10-06-2023,27435.874615135104
10-07-2023,27958.196437350485
10-08-2023,27977.543490700005
10-09-2023,27948.10365174851
10-10-2023,27593.782534439666
10-11-2023,27392.247702732497
10-12-2023,26842.190439092396
10-13-2023,26729.137205815106
10-14-2023,26841.136220644406
10-15-2023,26863.183569079916
10-16-2023,27150.29700140705
10-17-2023,28513.30993247735
10-18-2023,28417.72175169982
10-19-2023,28328.245198134824
10-20-2023,28715.748142407952
10-21-2023,29677.392888476206
10-22-2023,29920.07449265145
10-23-2023,30019.38050086351
10-24-2023,32953.262760830985
10-25-2023,33846.72425733224
10-26-2023,34471.986031672015
10-27-2023,34174.451552912586
10-28-2023,33899.09305644032
10-29-2023,34092.630932838576
10-30-2023,34556.242814761616
10-31-2023,34498.70391946407
11-01-2023,34672.2892841885
11-02-2023,35457.45491210553
11-03-2023,34924.05545044328
11-04-2023,34731.38136896784
11-05-2023,35048.407834901074
11-06-2023,35061.92874919579
11-07-2023,35031.26888208706
11-08-2023,35436.53762957962
11-09-2023,35795.080630710196
11-10-2023,36768.42081912672
11-11-2023,37344.249000720345
11-12-2023,37122.722824306555
11-13-2023,37067.69698212008
11-14-2023,36549.16204829837
11-15-2023,35545.201433454065
11-16-2023,37903.66245166294
11-17-2023,36201.51611146142
11-18-2023,36527.76022530742
11-19-2023,36582.36844192274
11-20-2023,37413.99460790531
11-21-2023,37489.298470802016
11-22-2023,35965.36036068078
11-23-2023,37464.83293220907
11-24-2023,37293.316127426726
11-25-2023,37738.93169747125
11-26-2023,37809.85286625321
11-27-2023,37491.838186008135
11-28-2023,37250.16905148115
11-29-2023,37802.23604377473
11-30-2023,37810.34641654128
